strengths wavelengths species
0.909 3261.3254 "Fe 1"
0.97 3261.5845 "Ti 2"
0.977 3261.6114 "Ti 2"
0.552 3261.6336 "Fe 1"
0.302 3261.7852 "V 2"
0.479 3261.799 "Fe 1"
0.913 3262.0085 "Fe 1"
0.26 3262.0566 "V 1"
0.392 3262.288 "Os 1"
0.717 3262.331 "Sn 1"
0.72 3263.0582 "Fe 1"
0.596 3263.211 "Co 1"
0.658 3263.2376 "V 1"
0.653 3263.3228 "V 2"
0.918 3263.3679 "Fe 1"
0.528 3263.4395 "Fe 1"
0.231 3263.4462 "OH 1"
0.209 3263.5022 "Ti 1"
0.941 3263.6831 "Ti 2"
0.298 3263.8264 "OH 1"
0.217 3263.8851 "Ce 2"
0.796 3264.0452 "Fe 1"
0.265 3264.0729 "Fe 1"
0.405 3264.1847 "OH 1"
0.743 3264.2658 "Cr 2"
0.302 3264.3898 "Fe 1"
0.838 3264.4056 "Ni 1"
0.961 3264.5122 "Fe 1"
0.899 3264.6952 "Fe 1"
0.906 3264.7059 "Mn 1"
0.656 3264.7158 "Co 1"
0.939 3264.7635 "Fe 2"
0.817 3264.781 "Er 2"
0.354 3264.813 "Zr 2"
0.81 3264.8449 "Co 1"
0.983 3265.0466 "Fe 1"
0.431 3265.0861 "Fe 1"
0.758 3265.2333 "Fe 1"
0.345 3265.2734 "Fe 1"
0.244 3265.3001 "Fe 1"
0.284 3265.3514 "Co 1"
0.293 3265.4753 "Ti 1"
0.93 3265.5422 "Fe 1"
0.978 3265.6163 "Fe 1"
0.54 3265.67 "La 2"
0.696 3265.6961 "Fe 1"
0.514 3265.8896 "Ni 1"
0.723 3265.8921 "V 2"
0.544 3266.0777 "V 1"
0.866 3266.2954 "Fe 1"
0.906 3266.4309 "Ti 2"
0.461 3266.634 "Cr 1"
0.805 3266.936 "Fe 2"
0.28 3266.9899 "OH 1"
0.632 3267.0376 "Cr 1"
0.211 3267.0405 "Fe 2"
0.389 3267.0754 "OH 1"
0.251 3267.1 "Er 2"
0.366 3267.1499 "Cr 1"
0.252 3267.176 "Er 2"
0.681 3267.1962 "Fe 1"
0.286 3267.246 "Nd 2"
0.965 3267.7022 "V 2"
0.412 3267.7862 "Mn 1"
0.396 3267.945 "Os 1"
0.283 3268.0028 "Co 1"
0.877 3268.0564 "Ni 1"
0.952 3268.2329 "Fe 1"
0.656 3268.4512 "Fe 1"
0.283 3268.4633 "Cr 2"
0.704 3268.5155 "Fe 2"
0.276 3268.7174 "Mn 1"
0.291 3268.8926 "Co 1"
0.314 3269.0822 "Cr 2"
0.418 3269.0851 "Ca 1"
0.497 3269.1442 "Fe 1"
0.887 3269.228 "Fe 1"
0.201 3269.411 "Er 2"
0.955 3269.4195 "Fe 1"
0.894 3269.489 "Ge 1"
0.565 3269.5373 "Fe 1"
0.514 3269.7351 "Ti 2"
0.536 3269.7579 "Cr 2"
0.623 3269.7679 "Fe 2"
0.808 3269.899 "Sc 1"
0.428 3269.971 "Fe 1"
0.778 3269.9787 "Ni 1"
0.798 3270.1312 "Cr 2"
0.293 3270.3463 "Mn 1"
0.394 3270.5652 "Ti 1"
0.204 3270.6645 "Fe 1"
0.237 3270.7126 "Cr 1"
0.979 3270.9998 "Fe 1"
0.977 3271.1137 "Ni 1"
0.968 3271.1225 "V 2"
0.748 3271.123 "Zr 2"
0.378 3271.1585 "Ni 1"
0.7 3271.4047 "V 1"
0.917 3271.4847 "Fe 1"
0.648 3271.6337 "V 1"
0.969 3271.6479 "Ti 2"
0.937 3271.6829 "Fe 1"
0.858 3271.7831 "Co 1"
0.239 3271.9519 "Cr 1"
0.971 3272.0773 "Ti 2"
0.206 3272.1501 "OH 1"
0.915 3272.221 "Zr 2"
0.371 3272.2507 "Ce 2"
0.238 3272.4137 "Co 1"
0.903 3272.5953 "Fe 1"
0.689 3272.7246 "Fe 1"
0.259 3273.0112 "Mn 1"
0.962 3273.047 "Zr 2"
0.238 3273.48 "Sm 2"
0.657 3273.4941 "Fe 2"
0.863 3273.631 "Sc 1"
0.448 3273.9445 "Co 1"
0.99 3273.9544 "Cu 1"
0.527 3274.0057 "Co 1"
0.483 3274.0456 "Ti 1"
0.801 3274.2049 "Fe 1"
0.267 3274.2065 "OH 1"
0.711 3274.2301 "Fe 1"
0.37 3274.3421 "Fe 1"
0.876 3274.4139 "Ti 2"
0.491 3274.4408 "Fe 1"
0.924 3274.4508 "Fe 1"
0.28 3274.5069 "V 2"
0.697 3274.6709 "Ca 1"
0.679 3274.8057 "Fe 1"
0.267 3274.8669 "Ce 2"
0.688 3274.9156 "Ni 2"
0.451 3275.212 "Nd 2"
0.256 3275.2391 "Fe 1"
0.926 3275.2903 "Ti 2"
0.45 3275.591 "Ni 1"
0.922 3275.6696 "Fe 1"
0.374 3275.6827 "Fe 1"
0.256 3275.6876 "Fe 1"
0.671 3275.8405 "Fe 1"
0.969 3276.1247 "V 2"
0.35 3276.2414 "OH 1"
0.89 3276.342 "Fe 1"
0.951 3276.4699 "Fe 1"
0.762 3276.4829 "Co 1"
0.859 3276.4846 "Ni 1"
0.818 3276.6018 "Fe 2"
0.951 3276.7718 "Ti 2"
0.937 3276.9916 "Ti 2"
0.772 3277.1813 "Ni 1"
0.325 3277.3057 "Fe 1"
0.252 3277.3279 "OH 1"
0.983 3277.348 "Fe 2"
0.369 3277.4441 "V 2"
0.648 3277.663 "Co 1"
0.586 3277.7203 "V 2"
0.394 3277.7981 "Fe 1"
0.281 3277.8448 "Fe 2"
0.263 3277.8905 "Cr 1"
0.397 3278.1052 "Co 1"
0.97 3278.2877 "Ti 2"
0.349 3278.3746 "Fe 1"
0.545 3278.5509 "Mn 1"
0.93 3278.7298 "Fe 1"
0.889 3278.7399 "Fe 1"
0.515 3278.8447 "Co 1"
0.975 3278.9185 "Ti 2"
0.437 3278.9688 "Ti 1"
0.339 3279.1301 "OH 1"
0.89 3279.1514 "Fe 1"
0.821 3279.2566 "Co 1"
0.958 3279.264 "Zr 2"
0.269 3279.325 "Er 2"
0.394 3279.625 "Fe 1"
0.649 3279.6463 "Fe 2"
0.851 3279.6505 "Fe 1"
0.899 3279.73 "Fe 1"
0.258 3279.8121 "Cu 1"
0.216 3279.8387 "Ce 2"
0.837 3279.8485 "V 2"
0.907 3279.9698 "Ti 2"
0.94 3279.9877 "Ti 2"
0.36 3280.09 "Dy 2"
0.34 3280.217 "Er 2"
0.79 3280.2557 "Fe 1"
0.955 3280.2598 "Fe 1"
0.203 3280.358 "Cr 1"
0.683 3280.6663 "Fe 1"
0.871 3280.679 "Ag 1"
0.561 3280.735 "Zr 2"
0.672 3280.7658 "Mn 1"
0.242 3280.8114 "Fe 1"
0.286 3281.1134 "V 2"
0.978 3281.292 "Fe 2"
0.524 3281.36 "Fe 1"
0.544 3281.5888 "Co 1"
0.395 3281.6196 "Fe 1"
0.318 3281.7553 "V 2"
0.898 3281.8274 "Fe 1"
0.88 3281.8744 "Ni 1"
0.968 3282.3267 "Ti 2"
0.844 3282.328 "Zn 1"
0.828 3282.5344 "V 2"
0.973 3282.6953 "Ni 1"
0.88 3282.717 "Fe 1"
0.902 3282.8246 "Ni 1"
0.717 3282.837 "Zr 2"
0.939 3282.8903 "Fe 1"
0.703 3282.9991 "Fe 1"
0.439 3283.0379 "Cr 2"
0.89 3283.1567 "Ti 2"
0.595 3283.3096 "V 1"
0.637 3283.327 "Co 1"
0.845 3283.418 "Fe 1"
0.912 3283.4626 "Co 1"
0.837 3283.6096 "Fe 1"
0.632 3283.7902 "Co 1"
0.256 3284.357 "V 1"
0.871 3284.4214 "Ni 1"
0.516 3284.5138 "Fe 1"
0.959 3284.5871 "Fe 1"
0.939 3284.712 "Zr 2"
0.256 3284.9851 "Fe 1"
0.525 3285.0154 "V 2"
0.349 3285.0211 "Co 1"
0.238 3285.0324 "OH 1"
0.426 3285.085 "Nd 2"
0.49 3285.1926 "Fe 1"
0.268 3285.2383 "Ti 1"
0.937 3285.4089 "Fe 2"
0.695 3285.5425 "Fe 1"
0.231 3285.5891 "Co 1"
0.456 3285.773 "Zr 2"
0.646 3285.88 "Zr 2"
0.448 3285.9407 "Cr 2"
0.899 3286.0159 "Fe 1"
0.526 3286.036 "Fe 1"
0.775 3286.0681 "Ca 1"
0.814 3286.4392 "Fe 1"
0.86 3286.4451 "Fe 1"
0.802 3286.6153 "Fe 1"
0.983 3286.7527 "Fe 1"
0.812 3286.7736 "Ti 2"
0.975 3286.9448 "Ni 1"
0.688 3286.9527 "Fe 1"
0.664 3287.0895 "Fe 1"
0.301 3287.1934 "Co 1"
0.715 3287.2221 "Ni 1"
0.27 3287.237 "Cr 1"
0.415 3287.303 "Zr 2"
0.246 3287.4632 "Fe 2"
0.421 3287.5688 "Co 1"
0.569 3287.589 "Ti 2"
0.966 3287.6543 "Ti 2"
0.782 3287.6728 "Fe 1"
0.231 3287.8271 "Co 1"
0.355 3288.0288 "Cr 2"
0.224 3288.1206 "OH 1"
0.958 3288.1411 "Ti 2"
0.369 3288.1752 "Co 1"
0.391 3288.3143 "V 2"
0.927 3288.4272 "Ti 2"
0.222 3288.4333 "V 1"
0.943 3288.5761 "Ti 2"
0.901 3288.649 "Fe 1"
0.303 3288.7887 "OH 1"
0.64 3288.805 "Zr 2"
0.664 3288.894 "Zr 2"
0.595 3288.9355 "Fe 1"
0.936 3288.9653 "Fe 1"
0.892 3288.9738 "Fe 1"
0.476 3289.0173 "Fe 1"
0.872 3289.3538 "Fe 2"
0.951 3289.3671 "Yb 2"
0.895 3289.3882 "V 2"
0.692 3289.4334 "Fe 1"
0.78 3289.9121 "Fe 1"
0.319 3290.2343 "V 2"
0.224 3290.279 "Sm 2"
0.606 3290.5343 "Ni 2"
0.389 3290.6141 "Fe 1"
0.55 3290.6827 "Ni 2"
0.937 3290.7113 "Fe 1"
0.962 3290.9881 "Fe 1"
0.205 3290.999 "Tm 2"
0.692 3291.1205 "Fe 1"
0.309 3291.2829 "Fe 1"
0.705 3291.4419 "Fe 1"
0.294 3291.6799 "OH 1"
0.492 3291.7076 "Fe 1"
0.794 3291.763 "Cr 2"
0.958 3292.0206 "Fe 1"
0.907 3292.0329 "Fe 1"
0.9 3292.0763 "Ti 1"
0.77 3292.0813 "Co 1"
0.97 3292.5893 "Fe 1"
0.446 3292.9158 "Fe 1"
0.902 3293.1402 "Fe 1"
0.518 3293.2111 "Co 1"
0.459 3293.4533 "Fe 1"
0.763 3293.4757 "Ti 2"
0.861 3293.6621 "Ni 1"
0.569 3293.7662 "Fe 1"
0.306 3293.8326 "Cr 1"
0.628 3293.8625 "Co 1"
0.792 3294.6123 "Fe 1"
0.463 3294.8935 "Ti 1"
0.287 3295.02 "Zr 2"
0.473 3295.1077 "Fe 1"
0.751 3295.2374 "Fe 2"
0.255 3295.2867 "Ce 2"
0.807 3295.423 "Cr 2"
0.801 3295.5466 "Mn 1"
0.504 3295.6426 "Fe 1"
0.972 3295.817 "Fe 2"
0.369 3295.8247 "Mn 1"
0.595 3296.028 "Mn 1"
0.756 3296.2611 "Ni 1"
0.209 3296.323 "OH 1"
0.47 3296.401 "Zr 2"
0.898 3296.4634 "Fe 1"
0.448 3296.5159 "Fe 1"
0.871 3296.802 "Fe 1"
0.483 3296.8342 "Fe 2"
0.66 3296.8797 "Mn 1"
0.33 3297.5113 "V 2"
0.761 3297.879 "Fe 2"
0.964 3298.1319 "Fe 1"
0.766 3298.1325 "Fe 1"
0.5 3298.1473 "V 1"
0.598 3298.1804 "Ti 2"
0.532 3298.2237 "Mn 1"
0.398 3298.2406 "Fe 1"
0.207 3298.3701 "Fe 1"
0.21 3298.532 "Fe 1"
0.844 3298.5566 "Fe 1"
0.793 3298.6769 "Co 1"
0.886 3298.7378 "V 2"
0.39 3299.0748 "Fe 1"
0.418 3299.1194 "Mn 1"
0.288 3299.1291 "Fe 1"
0.804 3299.4123 "Ti 1"
0.895 3299.4295 "Ti 2"
0.756 3299.5058 "Fe 1"
0.677 3299.6091 "Fe 1"
0.424 3300.143 "Nd 2"
0.235 3300.902 "Nd 2"
0.33 3301.2006 "Cr 2"
0.921 3301.2186 "Fe 1"
0.812 3301.4168 "Fe 1"
0.313 3301.4533 "Fe 1"
0.632 3301.567 "Os 1"
0.877 3301.6727 "Ti 2"
0.258 3301.8511 "OH 1"
0.382 3301.8593 "Pt 1"
0.856 3301.9132 "Fe 1"
0.94 3302.0953 "Ti 2"
0.621 3302.127 "Pd 1"
0.46 3302.2029 "Cr 1"
0.926 3302.3686 "Na 1"
0.873 3302.584 "Zn 1"
0.3 3302.649 "Zr 2"
0.954 3302.857 "Fe 2"
0.274 3302.8676 "Cr 1"
0.815 3302.941 "Zn 1"
0.907 3302.9785 "Na 1"
0.275 3303.11 "La 2"
0.206 3303.241 "Fe 1"
0.427 3303.2788 "Mn 1"
0.975 3303.465 "Fe 2"
0.919 3303.53 "Fe 1"
0.878 3303.5686 "Fe 1"
0.695 3303.8801 "Co 1"
0.482 3304.1196 "Co 1"
0.434 3304.2026 "Fe 1"
0.348 3304.3575 "Fe 1"
0.576 3304.4279 "Fe 2"
0.262 3304.4666 "V 2"
0.466 3304.5853 "Fe 1"
0.247 3304.7476 "OH 1"
0.28 3304.8758 "Mn 1"
0.891 3304.9493 "Ni 1"
0.396 3305.1054 "Co 1"
0.913 3305.152 "Zr 2"
0.23 3305.6127 "Fe 2"
0.436 3305.7276 "Co 1"
0.69 3305.7657 "Fe 1"
0.386 3305.8142 "Fe 1"
0.53 3305.8521 "Fe 1"
0.98 3305.9706 "Fe 1"
0.851 3306.0226 "Ti 2"
0.868 3306.0811 "Fe 1"
0.677 3306.1391 "Fe 1"
0.268 3306.2654 "Fe 2"
0.928 3306.275 "Zr 2"
0.964 3306.3396 "Fe 1"
0.979 3306.3548 "Fe 1"
0.435 3306.38 "Sm 2"
0.409 3306.4048 "Co 1"
0.913 3306.4822 "Fe 1"
0.887 3306.5868 "Fe 1"
0.547 3306.8751 "Fe 1"
0.728 3306.88 "Ti 1"
0.631 3306.9545 "Cr 2"
0.252 3306.9988 "Mn 1"
0.761 3307.0056 "Fe 1"
0.831 3307.015 "Ni 1"
0.252 3307.027 "Sm 2"
0.795 3307.042 "Cr 2"
0.861 3307.1556 "Co 1"
0.947 3307.2333 "Fe 1"
0.569 3307.6858 "Fe 1"
0.92 3307.721 "Ti 2"
0.264 3307.7443 "Cr 1"
0.306 3307.9446 "Cu 1"
0.38 3308.1364 "Cr 2"
0.84 3308.3937 "Ti 1"
0.612 3308.4838 "Co 1"
0.305 3308.6128 "Fe 1"
0.291 3308.6799 "Co 1"
0.567 3308.6867 "Co 1"
0.224 3308.7349 "Fe 1"
0.915 3308.7431 "Fe 1"
0.267 3308.7605 "Fe 1"
0.847 3308.7827 "Fe 1"
0.412 3308.784 "Mn 1"
0.226 3308.793 "Dy 2"
0.978 3308.8034 "Ti 2"
0.381 3308.808 "Co 1"
0.442 3308.88 "Dy 2"
0.338 3309.4245 "Ni 1"
0.883 3309.4963 "Ti 1"
0.669 3309.5128 "Cr 1"
0.899 3309.5315 "Ti 2"
0.657 3309.72 "Ti 1"
0.205 3309.8301 "Cr 1"
0.301 3309.891 "Zr 2"
0.942 3310.201 "Ni 1"
0.926 3310.3411 "Fe 1"
0.218 3310.4674 "Fe 1"
0.913 3310.4902 "Fe 1"
0.818 3310.6401 "Fe 1"
0.673 3310.6474 "Cr 2"
0.224 3310.66 "Sm 2"
0.433 3310.6617 "Cr 2"
0.865 3310.8463 "Fe 1"
0.335 3310.866 "Fe 1"
0.233 3310.897 "Nd 2"
0.708 3310.9066 "Fe 1"
0.819 3311.1951 "Fe 1"
0.3 3311.342 "Zr 2"
0.766 3311.4491 "Fe 1"
0.656 3311.9013 "Mn 1"
0.778 3311.9296 "Cr 2"
0.839 3312.15 "Co 1"
0.767 3312.1787 "Cr 2"
0.886 3312.2225 "Fe 1"
0.508 3312.2652 "Co 1"
0.922 3312.3183 "Ni 1"
0.69 3312.426 "Er 2"
0.553 3312.5918 "Fe 1"
0.732 3312.6639 "Fe 2"
0.603 3312.69 "Ti 1"
0.908 3312.6978 "Fe 1"
0.25 3312.72 "Dy 2"
0.758 3312.8261 "Co 1"
0.31 3312.829 "Nd 2"
0.846 3312.9296 "Ti 2"
0.873 3312.9915 "Ni 1"
0.486 3313.0689 "Cr 2"
0.403 3313.1189 "Co 1"
0.818 3313.1661 "Mn 1"
0.775 3313.4274 "Mn 1"
0.786 3313.5676 "Mn 1"
0.826 3313.5736 "Fe 1"
0.563 3313.7 "Zr 2"
0.709 3313.7144 "Fe 1"
0.928 3313.9891 "Fe 2"
0.399 3314.0508 "Cr 2"
0.847 3314.0734 "Co 1"
0.709 3314.122 "Mn 1"
0.838 3314.3834 "Mn 1"
0.906 3314.4212 "Ti 1"
0.896 3314.4429 "Fe 1"
0.729 3314.495 "Zr 2"
0.816 3314.515 "Ti 1"
0.641 3314.5354 "Cr 2"
0.696 3314.5992 "Fe 1"
0.954 3314.7413 "Fe 1"
0.372 3314.7727 "Mn 1"
0.524 3314.8563 "V 2"
0.856 3314.86 "Mn 1"
0.378 3315.0352 "Co 1"
0.463 3315.1572 "Fe 1"
0.776 3315.1671 "Fe 1"
0.349 3315.1773 "V 2"
0.476 3315.23 "Ti 1"
0.279 3315.2906 "Cr 2"
0.957 3315.3224 "Ti 2"
0.214 3315.4585 "OH 1"
0.988 3315.6629 "Ni 1"
0.444 3315.7832 "Ti 1"
0.484 3315.9474 "Mn 1"
0.797 3316.0253 "Fe 1"
0.551 3316.1631 "Fe 1"
0.346 3316.273 "Dy 2"
0.609 3316.324 "Mn 1"
0.82 3316.4244 "Mn 1"
0.842 3316.559 "Fe 1"
0.27 3316.6435 "V 2"
0.553 3316.8405 "Fe 1"
0.704 3316.9211 "Fe 1"
0.934 3317.1209 "Fe 1"
0.883 3317.2597 "Mn 1"
0.763 3317.5756 "Fe 1"
0.747 3317.6048 "Ni 1"
0.721 3317.8215 "Fe 1"
0.751 3317.9294 "Co 1"
0.981 3318.0228 "Ti 2"
0.657 3318.1118 "Cr 1"
0.43 3318.35 "Ti 1"
0.225 3318.3512 "Fe 1"
0.205 3318.364 "OH 1"
0.45 3318.3996 "Co 1"
0.492 3318.512 "Zr 2"
0.486 3318.5955 "Fe 1"
0.779 3318.8968 "Fe 1"
0.808 3319.029 "Zr 2"
0.883 3319.081 "Ti 2"
0.715 3319.1555 "Co 1"
0.917 3319.2527 "Fe 1"
0.86 3319.4798 "Co 1"
0.811 3319.5416 "Fe 1"
0.259 3319.5589 "Co 1"
0.598 3319.8236 "Co 1"
0.475 3319.88 "Dy 2"
0.986 3320.2587 "Ni 1"
0.885 3320.6433 "Fe 1"
0.624 3320.694 "Mn 1"
0.472 3320.7747 "Fe 1"
0.258 3320.775 "V 2"
0.351 3320.7763 "Ni 1"
0.673 3320.8439 "Fe 1"
0.329 3321.189 "Sm 2"
0.207 3321.1939 "Cr 1"
0.804 3321.238 "Ni 1"
0.839 3321.2648 "Fe 1"
0.346 3321.5035 "Fe 1"
0.628 3321.5429 "V 2"
0.812 3321.5837 "Ti 1"
0.966 3321.6982 "Ti 2"
0.77 3321.9089 "Co 1"
0.857 3322.2131 "Co 1"
0.984 3322.3096 "Ni 1"
0.943 3322.4729 "Fe 1"
0.78 3322.6556 "Fe 1"
0.363 3322.6988 "Cr 2"
0.989 3322.9338 "Ti 2"
0.841 3322.974 "Zr 2"
0.807 3322.9912 "Ti 2"
0.845 3323.0623 "Fe 2"
0.233 3323.091 "Rh 1"
0.252 3323.194 "Er 2"
0.865 3323.3879 "Ti 2"
0.287 3323.5339 "Cr 2"
0.381 3323.665 "Ti 1"
0.274 3323.7317 "V 2"
0.956 3323.7359 "Fe 1"
0.432 3323.8024 "Ti 1"
0.849 3323.8118 "Fe 1"
0.38 3323.8484 "Fe 1"
0.535 3323.901 "Ti 1"
0.914 3324.0467 "Cr 2"
0.699 3324.1296 "Cr 2"
0.826 3324.3319 "Cr 2"
0.884 3324.3692 "Fe 1"
0.941 3324.536 "Fe 1"
0.232 3324.751 "Ti 1"
0.31 3324.7516 "Ti 1"
0.888 3324.7836 "Fe 1"
0.525 3324.9076 "Fe 1"
0.491 3325.0065 "Fe 2"
0.259 3325.23 "Ti 1"
0.824 3325.2442 "Co 1"
0.243 3325.3688 "Ti 1"
0.425 3325.4247 "Co 1"
0.935 3325.4644 "Fe 1"
0.306 3325.889 "Nd 2"
0.39 3326.5642 "Co 1"
0.484 3326.6075 "Cr 1"
0.759 3326.6078 "Fe 1"
0.745 3326.6267 "Ni 1"
0.859 3326.6697 "Ni 1"
0.233 3326.6882 "Fe 1"
0.897 3326.6971 "Ti 2"
0.98 3326.7616 "Ti 2"
0.76 3326.8 "Zr 2"
0.906 3326.8444 "Ti 2"
0.857 3326.9911 "Co 1"
0.474 3327.1077 "Fe 1"
0.351 3327.1601 "Fe 1"
0.68 3327.2198 "Cr 1"
0.222 3327.2291 "Cr 1"
0.59 3327.3009 "Ti 1"
0.814 3327.3719 "Fe 1"
0.854 3327.39 "Ni 1"
0.55 3327.4949 "Fe 1"
0.671 3327.661 "Zr 2"
0.942 3327.8768 "Y 2"
0.886 3327.9522 "Fe 1"
0.563 3328.2104 "Co 1"
0.336 3328.26 "Nd 2"
0.902 3328.3419 "Cr 2"
0.739 3328.4658 "Fe 1"
0.937 3328.7131 "Ni 1"
0.943 3328.8659 "Fe 1"
0.393 3329.0133 "Co 1"
0.546 3329.1087 "Fe 2"
0.609 3329.3553 "Cr 1"
0.988 3329.4537 "Ti 2"
0.762 3329.4694 "Co 1"
0.86 3329.523 "Fe 1"
0.374 3329.8532 "V 1"
0.952 3329.9194 "Mg 1"
0.559 3329.9397 "Cr 1"
0.833 3329.9729 "Fe 1"
0.752 3330.2122 "Fe 1"
0.753 3330.3058 "Fe 1"
0.607 3330.6167 "Fe 1"
0.815 3330.66 "Mn 1"
0.451 3330.6977 "Mn 1"
0.494 3330.7782 "Mn 2"
0.495 3331.387 "Gd 2"
0.356 3331.57 "Nd 2"
0.397 3331.596 "Fe 1"
0.936 3331.611 "Fe 1"
0.901 3331.7754 "Fe 1"
0.648 3331.885 "Zr 2"
0.971 3332.1084 "Ti 2"
0.317 3332.135 "Gd 2"
0.966 3332.1458 "Mg 1"
0.878 3332.1783 "Ni 1"
0.386 3332.3342 "Fe 1"
0.384 3332.5576 "Cr 1"
0.252 3332.703 "Er 2"
0.522 3332.771 "Fe 1"
0.63 3332.8146 "Ti 2"
0.531 3332.8288 "Fe 1"
0.347 3332.8491 "Fe 1"
0.373 3332.8742 "Cr 1"
0.829 3332.9582 "Ni 1"
0.667 3333.0869 "Cr 1"
0.919 3333.3853 "Co 1"
0.818 3333.4053 "Co 1"
0.775 3333.5874 "Cr 1"
0.875 3333.5931 "Fe 1"
0.219 3334.1213 "Co 1"
0.943 3334.1483 "Co 1"
0.907 3334.2175 "Fe 1"
0.783 3334.253 "Zr 2"
0.815 3334.2732 "Fe 1"
0.818 3334.616 "Zr 2"
0.636 3334.6605 "Fe 1"
0.753 3334.675 "Cr 1"
0.987 3335.1911 "Ti 2"
0.82 3335.2955 "Cr 2"
0.587 3335.3909 "Fe 1"
0.769 3335.4224 "Cr 2"
0.818 3335.4413 "Fe 1"
0.84 3335.5095 "Fe 1"
0.808 3335.5525 "Ni 1"
0.856 3335.7139 "Fe 1"
0.26 3335.719 "Fe 1"
0.929 3335.7685 "Fe 1"
0.792 3335.8299 "Fe 1"
0.819 3335.9129 "Fe 1"
0.663 3336.1159 "Cr 2"
0.785 3336.128 "Fe 1"
0.412 3336.184 "Gd 2"
0.9 3336.2567 "Fe 1"
0.935 3336.3207 "Cr 2"
0.475 3336.3931 "Mn 2"
0.584 3336.5375 "Fe 1"
0.971 3336.674 "Mg 1"
0.441 3336.8237 "Fe 1"
0.805 3336.9608 "Ti 2"
0.204 3336.98 "Cr 1"
0.857 3337.0094 "Ni 1"
0.869 3337.1715 "Co 1"
0.396 3337.3922 "Mn 2"
0.838 3337.49 "La 2"
0.354 3337.5741 "Fe 1"
0.944 3337.6648 "Fe 1"
0.707 3337.8176 "Fe 1"
0.462 3337.8335 "V 2"
0.481 3337.8415 "Cu 1"
0.924 3337.8469 "Ti 2"
0.774 3337.9085 "Fe 1"
0.37 3338.1858 "Fe 2"
0.661 3338.419 "Zr 2"
0.351 3338.5204 "Co 1"
0.681 3338.5208 "Fe 2"
0.531 3338.6203 "Fe 1"
0.753 3338.7594 "Ni 1"
0.871 3339.0425 "Ni 1"
0.201 3339.05 "Nd 2"
0.928 3339.1938 "Fe 1"
0.875 3339.5779 "Fe 1"
0.836 3339.6813 "Fe 1"
0.438 3339.754 "Fe 1"
0.813 3339.7785 "Co 1"
0.944 3339.786 "Cr 2"
0.706 3339.8204 "Co 1"
0.764 3339.8809 "Cr 2"
0.724 3340.0203 "Fe 1"
0.986 3340.341 "Ti 2"
0.903 3340.553 "Zr 2"
0.951 3340.5643 "Fe 1"
0.244 3340.586 "Sm 2"
0.871 3340.8945 "Fe 1"
0.341 3340.994 "Dy 2"
0.754 3341.3416 "Co 1"
0.257 3341.868 "Ce 2"
0.963 3341.8731 "Ti 1"
0.988 3341.8747 "Ti 2"
0.934 3341.9056 "Fe 1"
0.624 3341.9485 "Co 1"
0.43 3342.1086 "Fe 1"
0.886 3342.147 "Ti 1"
0.88 3342.2141 "Fe 1"
0.922 3342.2918 "Fe 1"
0.294 3342.3433 "Cr 1"
0.271 3342.5515 "Co 1"
0.94 3342.576 "Cr 2"
0.45 3342.7057 "Ti 1"
0.694 3342.7124 "Co 1"
0.283 3343.0986 "Fe 1"
0.608 3343.2186 "Cr 1"
0.792 3343.2367 "Fe 1"
0.573 3343.2947 "Ti 2"
0.72 3343.338 "Cr 1"
0.247 3343.6587 "Fe 1"
0.71 3343.6715 "Fe 1"
0.327 3343.7259 "Mn 1"
0.978 3343.7615 "Ti 2"
0.232 3343.7701 "Fe 1"
0.406 3344.221 "Co 1"
0.401 3344.2738 "Cr 1"
0.214 3344.502 "Fe 1"
0.769 3344.5078 "Ca 1"
0.559 3344.564 "La 2"
0.664 3344.6362 "Cr 1"
0.339 3344.7604 "Ce 2"
0.777 3344.786 "Zr 2"
0.901 3344.9379 "Fe 1"
0.888 3345.015 "Zn 1"
0.308 3345.0998 "Cr 1"
0.275 3345.1412 "Cr 1"
0.255 3345.3501 "Mn 1"
0.656 3345.5547 "Si 1"
0.805 3345.57 "Zn 1"
0.819 3345.6852 "Fe 1"
0.308 3345.937 "Zn 1"
0.299 3345.989 "Gd 2"
0.47 3346.034 "Er 2"
0.595 3346.1374 "Cr 1"
0.218 3346.3107 "Co 1"
0.259 3346.7209 "Cr 1"
0.98 3346.7408 "Ti 2"
0.867 3346.9152 "Ti 2"
0.722 3346.9326 "Co 1"
0.821 3346.9338 "Fe 1"
0.832 3347.3672 "Fe 1"
0.352 3347.4602 "Cr 1"
0.758 3347.4978 "Fe 1"
0.537 3347.7567 "Fe 1"
0.935 3347.82 "Cr 2"
0.951 3347.9252 "Fe 1"
0.836 3348.1139 "Co 1"
0.233 3348.1212 "Co 1"
0.255 3348.153 "Nd 2"
0.336 3348.2108 "Fe 1"
0.499 3348.5315 "Ti 1"
0.978 3348.8395 "Ti 2"
0.988 3349.0326 "Ti 2"
0.604 3349.0814 "Cr 1"
0.251 3349.1084 "Fe 1"
0.716 3349.317 "Cr 1"
0.858 3349.3578 "Cr 2"
0.99 3349.4023 "Ti 2"
0.233 3349.4621 "Cr 2"
0.426 3349.6406 "Cr 2"
0.241 3350.064 "Er 2"
0.838 3350.2034 "Ca 1"
0.861 3350.2551 "Fe 1"
0.889 3350.2846 "Fe 1"
0.723 3350.3545 "Ca 1"
0.221 3350.3633 "Co 1"
