Species, Wavelength, Priority
"Co I", 5876.098, 1
"Co I", 5877.427, 1
"Co I", 5881.072, 1
"Co I", 5883.415, 1
"Co I", 5890.484, 1
"Co I", 5915.551, 1
"Co I", 5935.391, 1
"Co I", 5946.484, 1
"Co I", 5984.087, 1
"Co I", 5984.248, 1
"Co I", 5991.89, 1
"Co I", 6005.02, 1
"Co I", 6006.35, 1
"Co I", 6049.11, 1
"Co I", 6082.43, 1
"Co I", 6086.66, 1
"Co I", 6093.14, 1
"Co I", 6105.47, 1
"Co I", 6116.99, 1
"Co I", 6122.64, 1
"Co I", 6189.0, 1
"Co I", 6249.5, 1
"Co I", 6282.64, 1
"Co I", 6320.42, 1
"Co I", 6347.84, 1
"Co I", 6395.16, 1
"Co I", 6417.82, 1
"Co I", 6425.11, 1
"Co I", 6429.91, 1
"Co I", 6444.68, 1
"Co I", 6450.23, 1
"Co I", 6455.0, 1
"Co I", 6474.56, 1
"Co I", 6477.86, 1
"Co I", 6490.34, 1
"Co I", 6551.46, 1
"Co I", 6595.87, 1
"Co I", 6617.13, 1
"Co I", 6617.57, 1
"Co I", 6632.44, 1
"Co I", 6665.28, 1
"Co I", 6678.82, 1
"Co I", 6684.88, 1
"Co I", 6692.87, 1
"Co I", 6703.94, 1
"Co I", 6756.57, 1
"Co I", 6771.04, 1
"Co I", 6814.95, 1
"Co I", 6819.53, 1
"Co I", 6872.37, 1
"Co I", 7015.18, 1
"Co I", 7016.6, 1
"Co I", 7027.8, 1
"Co I", 7052.87, 1
"Co I", 7054.04, 1
"Co I", 7055.88, 1
"Co I", 7084.97, 1
"Co I", 7113.54, 1
"Co I", 7134.29, 1
"Co I", 7154.69, 1
"Co I", 7159.15, 1
"Co I", 7353.46, 1
"Co I", 7354.58, 1
"Co I", 7388.69, 1
"Co I", 7417.38, 1
"Co I", 7457.34, 1
"Co I", 7553.97, 1
"Co I", 7561.07, 1
"Co I", 7564.96, 1
"Co I", 7586.72, 1
"Co I", 7712.66, 1
"Co I", 7838.12, 1
"Co I", 7840.0, 1
"Co I", 7843.64, 1
"Co I", 7855.82, 1
"Co I", 7869.87, 1
"Co I", 7871.37, 1
"Co I", 7908.68, 1
"Co I", 7926.52, 1
"Co I", 7987.36, 1
"Co I", 8007.24, 1
"Co I", 8022.08, 1
"Co I", 8029.22, 1
"Co I", 8043.31, 1
"Co I", 8056.0, 1
"Co I", 8093.93, 1
"Co I", 8208.57, 1
"Co I", 8269.38, 1
"Co I", 8298.95, 1
"Co I", 8372.79, 1
"Co I", 8378.34, 1
"Co I", 8379.44, 1
"Co I", 8559.07, 1
"Co I", 8574.45, 1
"Co I", 8575.35, 1
"Co I", 8586.68, 1
"Co I", 8589.78, 1
"Co I", 8733.29, 1
"Co I", 8835.24, 1
"Y II", 3747.552, 1
"Y II", 3774.33, 1
"Y II", 3776.557, 1
"Y II", 3788.694, 1
"Y II", 3800.864, 1
"Y II", 3818.341, 1
"Y II", 3832.891, 1
"Y II", 3950.35, 1
"Y II", 3982.592, 1
"Y II", 4124.906, 1
"Y II", 4177.53, 1
"Y II", 4199.275, 1
"Y II", 4204.694, 1
"Y II", 4235.728, 1
"Y II", 4309.622, 1
"Y II", 4358.724, 1
"Y II", 4374.934, 1
"Y II", 4398.01, 1
"Y II", 4422.584, 1
"Y II", 4682.323, 1
"Y II", 4786.577, 1
"Y II", 4823.304, 1
"Y II", 4853.057, 1
"Y II", 4854.861, 1
"Y II", 4881.434, 1
"Y II", 4883.683, 1
"Y II", 4900.119, 1
"Y II", 4982.13, 1
"Y II", 5087.419, 1
"Y II", 5119.112, 1
"Y II", 5123.21, 1
"Y II", 5200.409, 1
"Y II", 5205.723, 1
"Y II", 5289.817, 1
"Y II", 5320.783, 1
"Y II", 5402.774, 1
"Y II", 5473.386, 1
"Y II", 5480.731, 1
"Y II", 5497.406, 1
"Y II", 5509.895, 1
"Y II", 5521.563, 1
"Y II", 5544.612, 1
"Y II", 5546.009, 1
"Y II", 5610.362, 1
"Y II", 5662.924, 1
"Y II", 5728.887, 1
"Y II", 6613.73, 1
"Y II", 6795.42, 1
"Y II", 7881.9, 1
"Mo I", 3798.252, 1
"Mo I", 3864.111, 1
"Mo I", 4081.438, 1
"Mo I", 4474.563, 1
"Mo I", 5506.492, 1
"Mo I", 5533.045, 1
"Mo I", 5570.449, 1
"Mo I", 5689.134, 1
"Mo I", 5751.403, 1
"Mo I", 5791.848, 1
"Mo I", 5858.269, 1
"Mo I", 5888.325, 1
"Mo I", 6030.66, 1
"Mo I", 6619.13, 1
"Pr II", 4038.466, 1
"Pr II", 4062.813, 1
"Pr II", 4118.477, 1
"Pr II", 4141.253, 1
"Pr II", 4143.133, 1
"Pr II", 4222.979, 1
"Pr II", 4408.845, 1
"Pr II", 4449.862, 1
"Pr II", 4477.254, 1
"Pr II", 4496.426, 1
"Pr II", 4510.155, 1
"Pr II", 4651.516, 1
"Pr II", 5259.742, 1
"Pr II", 5322.774, 1
"Pr II", 5352.404, 1
"Pr II", 5411.553, 1
"Pr II", 5509.141, 1
"Pr II", 5756.171, 1
"Pr II", 6165.94, 1
"Tm I", 4105.84, 1
"Dy II", 3757.372, 1
"Dy II", 3788.437, 1
"Dy II", 3872.117, 1
"Dy II", 3931.536, 1
"Dy II", 3944.682, 1
"Dy II", 3983.653, 1
"Dy II", 4050.563, 1
"Dy II", 4073.115, 1
"Dy II", 4077.964, 1
"Dy II", 4103.304, 1
"Dy II", 4449.702, 1
"Dy II", 5169.699, 1
"Dy II", 5426.701, 1
"Dy II", 5600.651, 1
"Dy II", 5868.106, 1
"Si I", 3905.523, 1
"Si I", 4102.936, 1
"Si I", 4601.256, 1
"Si I", 4627.383, 1
"Si I", 4747.994, 1
"Si I", 4755.275, 1
"Si I", 4782.991, 1
"Si I", 4792.325, 1
"Si I", 4839.86, 1
"Si I", 4947.607, 1
"Si I", 5006.061, 1
"Si I", 5156.022, 1
"Si I", 5258.842, 1
"Si I", 5260.658, 1
"Si I", 5333.242, 1
"Si I", 5404.666, 1
"Si I", 5413.1, 1
"Si I", 5418.125, 1
"Si I", 5421.169, 1
"Si I", 5493.233, 1
"Si I", 5494.676, 1
"Si I", 5502.939, 1
"Si I", 5517.535, 1
"Si I", 5621.607, 1
"Si I", 5622.221, 1
"Si I", 5645.034, 1
"Si I", 5645.611, 1
"Si I", 5654.924, 1
"Si I", 5660.5, 1
"Si I", 5660.683, 1
"Si I", 5665.554, 1
"Si I", 5666.678, 1
"Si I", 5669.743, 1
"Si I", 5675.417, 1
"Si I", 5684.484, 1
"Si I", 5690.424, 1
"Si I", 5701.105, 1
"Si I", 5708.397, 1
"Si I", 5747.667, 1
"Si I", 5753.624, 1
"Si I", 5754.219, 1
"Si I", 5772.146, 1
"Si I", 5780.384, 1
"Si I", 5793.071, 1
"Si I", 5797.859, 1
"Si I", 5873.764, 1
"Si I", 5897.242, 1
"Si I", 5899.525, 1
"Si I", 5948.545, 1
"Si I", 6022.23, 1
"Si I", 6029.87, 1
"Si I", 6067.62, 1
"Si I", 6080.02, 1
"Si I", 6087.8, 1
"Si I", 6091.92, 1
"Si I", 6106.41, 1
"Si I", 6106.61, 1
"Si I", 6112.93, 1
"Si I", 6123.49, 1
"Si I", 6125.02, 1
"Si I", 6131.57, 1
"Si I", 6131.85, 1
"Si I", 6142.49, 1
"Si I", 6145.02, 1
"Si I", 6152.32, 1
"Si I", 6155.13, 1
"Si I", 6155.7, 1
"Si I", 6194.41, 1
"Si I", 6194.88, 1
"Si I", 6195.43, 1
"Si I", 6231.87, 1
"Si I", 6232.45, 1
"Si I", 6237.32, 1
"Si I", 6238.29, 1
"Si I", 6243.81, 1
"Si I", 6244.11, 1
"Si I", 6244.47, 1
"Si I", 6254.19, 1
"Si I", 6254.85, 1
"Si I", 6259.77, 1
"Si I", 6279.35, 1
"Si I", 6299.6, 1
"Si I", 6308.83, 1
"Si I", 6310.28, 1
"Si I", 6331.95, 1
"Si I", 6394.22, 1
"Si I", 6407.26, 1
"Si I", 6408.69, 1
"Si I", 6414.97, 1
"Si I", 6457.37, 1
"Si I", 6518.73, 1
"Si I", 6526.39, 1
"Si I", 6526.61, 1
"Si I", 6527.2, 1
"Si I", 6555.46, 1
"Si I", 6560.56, 1
"Si I", 6583.71, 1
"Si I", 6631.05, 1
"Si I", 6635.66, 1
"Si I", 6719.61, 1
"Si I", 6721.85, 1
"Si I", 6741.64, 1
"Si I", 6761.02, 1
"Si I", 6782.21, 1
"Si I", 6795.79, 1
"Si I", 6843.16, 1
"Si I", 6848.57, 1
"Si I", 6876.4, 1
"Si I", 6953.06, 1
"Si I", 6976.52, 1
"Si I", 6992.88, 1
"Si I", 7003.57, 1
"Si I", 7005.88, 1
"Si I", 7012.61, 1
"Si I", 7016.74, 1
"Si I", 7017.28, 1
"Si I", 7017.65, 1
"Si I", 7019.1, 1
"Si I", 7026.62, 1
"Si I", 7034.9, 1
"Si I", 7054.98, 1
"Si I", 7055.93, 1
"Si I", 7097.12, 1
"Si I", 7164.69, 1
"Si I", 7165.08, 1
"Si I", 7165.55, 1
"Si I", 7193.9, 1
"Si I", 7208.21, 1
"Si I", 7218.47, 1
"Si I", 7226.21, 1
"Si I", 7229.49, 1
"Si I", 7235.33, 1
"Si I", 7235.82, 1
"Si I", 7242.23, 1
"Si I", 7250.14, 1
"Si I", 7250.62, 1
"Si I", 7275.29, 1
"Si I", 7282.81, 1
"Si I", 7289.17, 1
"Si I", 7345.22, 1
"Si I", 7373.0, 1
"Si I", 7374.3, 1
"Si I", 7375.25, 1
"Si I", 7395.52, 1
"Si I", 7405.77, 1
"Si I", 7409.08, 1
"Si I", 7415.35, 1
"Si I", 7415.95, 1
"Si I", 7423.5, 1
"Si I", 7424.6, 1
"Si I", 7455.36, 1
"Si I", 7482.19, 1
"Si I", 7491.07, 1
"Si I", 7504.93, 1
