wavelength, species, priority
2403.3301, Fe II, 1.47
2405.1641, Fe II, 30.2
2405.6189, Fe II, 358.0
2406.4141, Fe XII, 185.0
2407.394, Fe II, 157.0
2411.2529, Fe II, 198.0
2411.802, Fe II, 105.0
2413.605, Ca V, 1.09
2414.0449, Fe II, 84.7
2417.678, Mg V, 2.72
2420.6279, Fe II, 8.8
2421.6052, Fe XI, 6.5
2423.4241, Fe II, 7.08
2423.9451, Fe II, 8.92
2424.8831, Fe II, 126.0
2425.3269, Fe II, 21.9
2425.387, Fe II, 11.6
2429.03, Fe II, 42.2
2429.1021, Fe II, 88.4
2429.5359, Fe II, 10.3
2429.7729, Fe II, 6.41
2430.125, Fe II, 19.5
2430.248, Fe II, 8.79
2430.311, Al VI, 1.71
2430.8169, Fe II, 95.7
2430.9241, Fe II, 8.96
2430.9419, Fe II, 7.18
2432.999, Fe II, 72.9
2435.1479, Fe II, 6.5
2435.385, Fe II, 6.5
2435.6909, Fe II, 54.1
2436.959, Fe II, 8.04
2438.012, Fe II, 3.29
2440.042, Fe II, 157.0
2441.1631, Fe II, 54.4
2445.2571, Fe II, 73.7
2446.314, Fe II, 39.4
2446.5381, Fe II, 36.1
2446.8511, Fe II, 8.96
2447.946, Fe II, 11.7
2448.0681, Fe II, 6.72
2448.3081, Fe II, 6.72
2450.7061, Fe II, 9.09
2450.947, Fe II, 22.7
2451.9609, Fe II, 10.3
2455.709, O III, 107.0
2457.564, Fe II, 7.72
2458.2959, Fe II, 8.58
2458.5381, Fe II, 1.34
2459.5281, Fe II, 134.0
2459.717, Fe II, 16.9
2462.0281, Fe II, 85.7
2462.6069, Fe II, 107.0
2464.0271, Fe II, 58.3
2464.4651, Fe II, 7.11
2464.7571, Fe II, 45.9
2465.6509, Fe II, 25.5
2465.948, Fe II, 14.4
2466.658, Fe II, 34.3
2467.4189, Fe II, 29.4
2467.5669, Fe II, 40.6
2469.0029, Fe II, 22.0
2470.262, Fe II, 31.3
2470.9709, O II, 1.06
2471.092, O II, 5.17
2471.156, Fe II, 4.09
2471.417, Fe II, 60.3
2473.178, Fe II, 10.0
2474.0701, Fe II, 15.5
2475.5139, Fe II, 5.34
2479.321, Fe II, 12.7
2480.907, Fe II, 91.6
2482.8679, Fe II, 9.88
2483.407, Fe II, 6.24
2487.103, Fe II, 3.88
2490.2351, Fe II, 14.3
2490.582, Fe II, 104.0
2491.2419, S III, 11.5
2491.6111, Fe II, 10.3
2492.1489, Fe II, 7.95
2493.936, Fe II, 244.0
2493.9751, Fe II, 5.92
2494.0139, Fe II, 245.0
2498.573, Fe II, 48.9
2498.8425, Fe IX, 119.0
2499.6509, Fe II, 223.0
2503.147, Fe II, 59.3
2504.3201, Fe II, 14.1
2506.8491, Fe II, 77.5
2507.78, Fe II, 5.84
2509.75, Mg VII, 4.54
2509.886, C II, 216.0
2512.4961, C II, 42.5
2512.5181, Fe II, 185.0
2512.8191, C II, 387.0
2514.1599, Fe II, 5.77
2517.978, Fe II, 7.71
2522.959, Fe II, 10.1
2526.1479, Fe II, 192.0
2526.835, Fe II, 7.77
2527.0549, Fe II, 49.9
2527.864, Fe II, 10.6
2530.3059, Fe II, 111.0
2530.3191, Fe II, 5.92
2534.3889, Fe II, 198.0
2534.6663, Fe VIII *, 2.8
2535.1809, Fe II, 107.0
2536.249, Fe II, 10.3
2537.5681, Fe II, 128.0
2537.6069, Fe II, 7.53
2539.2996, Ni XIV, 1.16
2539.562, Fe II, 81.5
2539.6731, Fe II, 68.6
2539.7571, Fe II, 101.0
2541.4409, Fe II, 9.88
2541.864, Fe II, 13.1
2542.5859, Si III, 24400.0
2542.5991, Fe II, 67.9
2544.1431, Fe II, 12.9
2544.1951, Fe II, 9.78
2545.9851, Fe II, 7.76
2546.0239, Ti XV, 11.4
2547.436, Fe II, 74.4
2548.104, Fe II, 4.87
2549.356, Fe II, 6.14
2549.51, Fe II, 21.1
2550.1599, Fe II, 38.7
2550.2271, Fe II, 49.8
2551.3401, Fe II, 4.66
2554.479, Ni XI, 1.63
2555.835, Fe II, 12.9
2556.22, Fe II, 9.55
2558.793, Mn XX, 116.0
2563.304, Fe II, 273.0
2564.2451, Fe II, 136.0
2566.7749, Fe XII, 61.8
2567.6831, Fe II, 52.7
2569.1809, Fe II, 17.4
2575.1379, Fe II, 24.6
2578.6951, Fe II, 51.9
2579.5449, Fe XIII, 249.0
2583.3569, Fe II, 67.2
2586.6499, Fe II, 178.0
2588.968, Fe II, 3.97
2591.325, Fe II, 19.3
2592.3181, Fe II, 58.6
2594.5039, Fe II, 10.3
2597.3989, Ne III *, 26.7
2599.147, Fe II, 242.0
2600.1731, Fe II, 737.0
2600.5161, Ne III *, 19.9
2600.947, Fe II, 7.5
2602.5801, Ne III *, 12.7
2605.199, Si II, 4.23
2606.864, Si II, 2.13
2607.866, Fe II, 219.0
2610.8091, Ne III, 15.8
2611.853, Fe II, 6.32
2612.6541, Fe II, 331.0
2614.189, Ne III, 11.2
2614.605, Fe II, 140.0
2615.2771, Ne III, 1.11
2616.6631, Ne III, 7.49
2618.3989, Fe II, 94.0
2619.8569, Fe II, 1.89
2621.1909, Fe II, 3.94
2621.478, Fe II, 2.58
2621.6809, Fe II, 5.44
2622.4519, Fe II, 39.6
2624.5071, Fe II, 2.43
2626.4509, Fe II, 161.0
2627.4819, Fe II, 4.2
2629.0779, Fe II, 138.0
2629.365, Fe II, 3.45
2629.676, Mg VII, 11.5
2630.373, Fe II, 16.2
2630.856, Fe II, 14.9
2631.7949, Fe II, 20.5
2631.832, Fe II, 215.0
2632.1079, Fe II, 231.0
2632.3931, Fe II, 27.0
2639.4829, Ne III, 17.1
2639.978, Ne III, 5.64
2641.3479, Ne III, 5.29
2641.3479, Ne III, 4.59
2641.843, Ne III, 3.58
2641.9099, Fe II, 14.8
2643.0239, Ne III, 4.45
2649.5027, Fe XI, 249.0
2659.9619, S III, 8.41
2666.0317, Fe XX, 3030.0
2669.948, Al II, 777.0
2678.696, Ne III, 6.94
2678.696, Ne III, 34.7
2679.436, Ne III, 20.8
2684.304, Fe II, 6.95
2692.624, Fe V, 1.21
2693.6331, Fe II, 3.29
2698.4775, Fe VIII *, 1.79
2710.1841, Fe II, 4.36
2715.218, Fe II, 62.3
2717.502, Fe II, 64.6
2719.446, Fe II, 1.04
2722.6201, Fe II, 4.69
2723.9839, Si VIII, 20.7
2724.083, Fe V, 1.65
2725.6909, Fe II, 79.0
2728.3469, Fe II, 73.2
2731.4246, Ca XVI, 890.0
2731.543, Fe II, 59.1
2731.918, S III, 2.09
2737.7759, Fe II, 50.9
2740.3579, Fe II, 393.0
2742.7371, Si VIII, 11.7
2743.9409, Ne VI *, 2.79
2744.009, Fe II, 145.0
2747.2959, Fe II, 236.0
2747.7939, Fe II, 179.0
2749.9939, Fe II, 81.1
2750.134, Fe II, 371.0
2750.2991, Fe II, 50.0
2756.551, Fe II, 150.0
2757.7061, S III, 2.85
2757.845, Fe II, 3.51
2762.2834, Fe XI, 1.43
2762.6289, Fe II, 49.8
2763.2629, Fe II, 1.95
2764.7271, Fe II, 2.6
2765.033, Si VIII, 9.23
2769.7529, Fe II, 70.7
2773.5449, Fe II, 62.2
2774.0842, Fe VIII *, 2.76
2776.1179, S III, 2.26
2778.469, Ne III, 8.44
2781.8269, OV, 159.0
2783.5769, Mg V, 7.45
2783.8579, Ne III, 1.05
2786.1201, Ne III, 4.72
2786.9839, Ne III, 1.02
2787.814, OV, 62.1
2788.5581, Ne III, 3.01
2790.6689, OV, 30.8
2791.6001, Mg II, 174.0
2791.8379, Fe IV, 1.93
2792.9529, Fe IV, 2.36
2796.3521, Mg II, 9300.0
2798.7539, Mg II, 34.5
2798.823, Mg II, 312.0
2803.531, Mg II, 4650.0
2817.0139, Al II, 230.0
2818.7407, Ni XV, 18.8
2819.3687, Ni XXI, 8.53
2823.78, Ne III, 4.7
