Wavelength, Species, Priority
3018.2122, Fe2, 0.223
3018.2466, Fe1, 0.915
3018.355, Zn1, 0.28
3018.491, Cr1, 0.973
3018.5787, Ca1, 0.894
3018.6707, Ca1, 0.699
3018.6984, Fe1, 0.673
3018.818, Cr1, 0.967
3018.9828, Fe1, 0.993
3019.1433, Ni1, 0.993
3019.2221, Fe1, 0.904
3019.2456, Fe1, 0.937
3019.2579, Ca1, 0.271
3019.2875, Fe1, 0.96
3019.3218, Fe1, 0.853
3019.351, Sc1, 0.818
3019.832, Zr2, 0.88
3019.8911, OH1, 0.207
3019.9271, Mn2, 0.824
3019.9325, Fe1, 0.904
3020.0041, Si1, 0.97
3020.0044, Fe2, 0.368
3020.138, Fe1, 0.696
3020.2319, Ca1, 0.686
3020.452, Zr2, 0.889
3020.4905, Fe1, 0.995
3020.5593, Fe1, 0.385
3020.6387, Fe1, 0.995
3020.6617, V2, 0.854
3020.6637, Fe1, 0.674
3020.668, Cr1, 0.975
3020.6972, Fe1, 0.79
3020.7133, Fe1, 0.714
3020.801, Fe1, 0.203
3020.9172, Fe1, 0.217
3021.0724, Fe1, 0.995
3021.3869, Fe2, 0.299
3021.4171, Fe2, 0.852
3021.559, Cr1, 0.988
3021.7203, Ni1, 0.46
3021.7217, Mn2, 0.496
3022.035, Zr2, 0.25
3022.2597, Fe1, 0.526
3022.3355, OH1, 0.262
3022.3532, Co1, 0.468
3022.3663, Fe1, 0.881
3022.586, V2, 0.851
3022.6358, Ti2, 0.413
3022.7119, Fe1, 0.321
3022.7438, Mn1, 0.902
3023.4393, Fe1, 0.362
3023.5859, Fe1, 0.339
3023.6685, Ti2, 0.583
3023.7211, Ni1, 0.804
3023.7846, Cr1, 0.237
3023.8359, Fe2, 0.677
3023.8898, V2, 0.664
3024.0324, Fe1, 0.994
3024.2255, Fe1, 0.88
3024.3344, Fe1, 0.509
3024.3482, Cr1, 0.98
3024.4201, Fe1, 0.342
3024.635, Bi1, 0.406
3024.6611, Cr1, 0.574
3024.6889, Fe1, 0.214
3024.7473, Fe1, 0.761
3024.7991, Fe1, 0.881
3024.9497, Ca1, 0.823
3024.9814, V2, 0.71
3024.9991, Ca1, 0.605
3025.0094, OH1, 0.246
3025.0573, Ti1, 0.219
3025.164, Zr2, 0.232
3025.2493, Fe1, 0.518
3025.2579, Cr1, 0.359
3025.2781, Fe1, 0.296
3025.2795, Fe1, 0.978
3025.403, Cr1, 0.981
3025.6362, Fe1, 0.988
3025.707, Zr2, 0.477
3025.8422, Fe1, 0.995
3025.8815, Cr1, 0.281
3025.954, Er2, 0.28
3025.989, Fe2, 0.279
3026.16, Dy2, 0.218
3026.2216, OH1, 0.21
3026.2343, Fe1, 0.425
3026.3719, Co1, 0.911
3026.4618, Fe1, 0.993
3026.478, Nd2, 0.233
3026.6392, Cr2, 0.917
3026.8279, Cr2, 0.793
3026.9357, Fe1, 0.799
3027.0122, Fe1, 0.882
3027.5889, Fe1, 0.806
3027.601, Gd2, 0.734
3027.6035, V2, 0.502
3027.7007, Fe1, 0.86
3027.8571, Fe1, 0.916
3027.91, Pd1, 0.449
3028.0046, Fe1, 0.716
3028.045, Zr2, 0.901
3028.0528, V2, 0.725
3028.1235, Cr2, 0.875
3028.1846, Co1, 0.206
3028.2924, OH1, 0.2
3028.441, Nb2, 0.588
3028.4682, Fe1, 0.805
3028.7436, Fe1, 0.267
3028.7488, Fe1, 0.426
3028.8293, Fe1, 0.386
3028.8712, Fe1, 0.916
3028.944, Ca1, 0.387
3029.0456, Mn2, 0.446
3029.0769, Fe1, 0.508
3029.0961, Fe1, 0.316
3029.161, Cr1, 0.955
3029.2338, Fe1, 0.971
3029.3027, Ni1, 0.909
3029.4385, Mn2, 0.265
3029.52, Zr1, 0.426
3029.5698, V2, 0.825
3029.6921, Fe2, 0.387
3029.7278, Ti2, 0.967
3029.7513, Fe1, 0.233
3029.76, Ti2, 0.968
3030.0242, Fe1, 0.915
3030.1479, Fe1, 0.987
3030.244, Cr1, 0.98
3030.306, Ce2, 0.275
3030.6035, Fe1, 0.912
3030.691, Os1, 0.266
3030.7621, Fe1, 0.708
3030.919, Zr2, 0.902
3030.9637, Fe1, 0.545
3030.9981, V1, 0.204
3031.0505, Mn2, 0.886
3031.1121, Yb2, 0.767
3031.16, Hf2, 0.381
3031.213, Fe1, 0.986
3031.2657, Fe1, 0.37
3031.2898, Co1, 0.645
3031.3244, Fe1, 0.935
3031.3509, OH1, 0.247
3031.352, Cr1, 0.953
3031.3694, Cr2, 0.616
3031.4759, Fe1, 0.908
3031.4821, Cr1, 0.645
3031.6365, Fe1, 0.992
3031.6852, Fe1, 0.821
3031.7183, Fe1, 0.532
3031.8672, Ni1, 0.991
3032.1878, V2, 0.322
3032.2279, Fe1, 0.719
3032.2419, Fe1, 0.796
3032.2541, Cr1, 0.245
3032.4066, Fe1, 0.219
3032.4554, Ni2, 0.696
3032.4702, Fe1, 0.537
3032.762, Nb2, 0.225
3032.7876, Fe1, 0.515
3032.844, Gd2, 0.814
3032.846, As1, 0.437
3032.917, Cr2, 0.934
3033.02, Fe1, 0.641
3033.098, Fe1, 0.953
3033.4354, V2, 0.915
3033.4427, Fe2, 0.371
3033.587, Fe1, 0.231
3033.5882, Mn2, 0.629
3033.8193, V2, 0.943
3033.9358, OH1, 0.232
3034.0412, Cr2, 0.513
3034.051, Gd2, 0.762
3034.115, Sn1, 0.73
3034.188, Cr1, 0.966
3034.1939, Fe1, 0.584
3034.4321, Co1, 0.942
3034.4839, Fe1, 0.961
3034.5351, Fe1, 0.952
3034.5388, Ca1, 0.87
3034.5395, Cr2, 0.832
3034.5941, Fe1, 0.901
3034.6625, Co2, 0.211
3034.6724, Ca1, 0.584
3034.736, Fe2, 0.245
3034.8066, Mn2, 0.623
3034.9826, Cr2, 0.755
3035.2382, Fe1, 0.238
3035.3595, Mn2, 0.863
3035.5465, Cr1, 0.301
3035.7365, Fe1, 0.959
3035.7466, Fe1, 0.635
3035.777, Zn1, 0.55
3036.099, Cu1, 0.677
3036.221, Er2, 0.285
3036.3364, Fe1, 0.415
3036.391, Zr2, 0.878
3036.503, Zr2, 0.77
3036.59, Fe1, 0.827
3036.7757, Ti2, 0.797
3036.9633, Fe2, 0.695
3037.045, Cr1, 0.973
3037.2075, Fe1, 0.915
3037.3512, Fe1, 0.247
3037.3885, Fe1, 0.995
3037.519, Fe1, 0.737
3037.5497, Fe1, 0.872
3037.6302, Fe2, 0.296
3037.6813, Fe1, 0.486
3037.7309, Ce2, 0.319
3037.7794, Fe1, 0.977
3037.9325, Ni1, 0.994
3038.0356, Cr2, 0.317
3038.0947, Mn2, 0.839
3038.285, Dy2, 0.439
3038.3053, Co1, 0.731
3038.3136, Fe1, 0.93
3038.5093, Mn2, 0.808
3038.5204, V2, 0.513
3038.5566, Ti2, 0.416
3038.7114, Fe1, 0.376
3038.7266, Ti2, 0.901
3038.7795, Fe2, 0.796
3038.9788, Fe1, 0.719
3039.0188, Fe1, 0.307
3039.067, Ge1, 0.967
3039.1876, Ca1, 0.288
3039.3171, Fe1, 0.957
3039.357, In1, 0.316
3039.557, Mn2, 0.411
3039.5644, Co1, 0.532
3039.5987, Fe1, 0.938
3039.6644, Fe1, 0.382
3039.7407, Cr1, 0.778
3039.7668, V2, 0.292
3039.775, Cr1, 0.971
3039.7928, Fe1, 0.677
3039.842, Cr1, 0.229
3039.9175, Sc2, 0.213
3040.4269, Fe1, 0.992
3040.5087, Fe1, 0.892
3040.5998, Mn1, 0.903
3040.7651, Fe1, 0.879
3040.8117, Co1, 0.289
3040.841, Cr1, 0.972
3040.8459, Fe2, 0.453
3040.867, Fe1, 0.415
3040.9, Os1, 0.506
3040.9236, Cr2, 0.928
3040.9473, Fe1, 0.815
3040.963, Fe1, 0.28
3041.0239, OH1, 0.226
3041.0297, Fe1, 0.441
3041.0624, Ca1, 0.572
3041.2197, Mn1, 0.516
3041.4222, V2, 0.845
3041.4943, Fe1, 0.446
3041.6371, Fe1, 0.986
3041.7022, Fe1, 0.289
3041.7202, Cr2, 0.906
3041.7385, Fe1, 0.993
3041.8971, Fe1, 0.885
3042.0195, Fe1, 0.991
3042.1, Fe1, 0.777
3042.1553, Cr2, 0.247
3042.2664, V2, 0.88
3042.4834, Co1, 0.96
3042.5393, Ti1, 0.844
3042.553, Ir2, 0.758
3042.5901, Fe1, 0.766
3042.6318, Pt1, 0.818
3042.6646, Fe1, 0.992
3042.7307, Mn1, 0.729
3042.745, Os2, 0.845
3042.7738, Cr2, 0.837
3042.8424, Fe1, 0.904
3043.0194, Fe1, 0.68
3043.1192, V1, 0.865
3043.1221, Mn2, 0.629
3043.135, Dy2, 0.233
3043.1384, Mn1, 0.657
3043.3514, Mn1, 0.872
3043.3702, Fe1, 0.932
3043.5316, V2, 0.782
3043.533, OH1, 0.213
3043.5491, V1, 0.847
3043.7655, Mn1, 0.669
3043.8471, Ti2, 0.915
3043.8661, Cr2, 0.779
3044.0037, Co1, 0.989
3044.0522, Co1, 0.388
3044.1049, Fe1, 0.732
3044.106, Zr2, 0.903
3044.2137, Cr2, 0.35
3044.5635, Mn1, 0.951
3044.8394, Fe2, 0.866
3044.8784, Fe1, 0.363
3044.9325, V1, 0.827
3044.9514, Ti2, 0.68
3045.0066, Ni1, 0.99
3045.0783, Fe1, 0.986
3045.1707, V2, 0.372
3045.501, Cr2, 0.398
3045.5635, Fe1, 0.904
3045.5874, Fe1, 0.954
3045.591, Mn1, 0.889
3045.716, Sc2, 0.461
3045.7425, Ca1, 0.755
3045.7485, Fe1, 0.778
3045.8043, Mn1, 0.755
3045.8957, Ca1, 0.485
3046.0376, Fe1, 0.857
3046.2722, Mn2, 0.248
3046.6464, Fe1, 0.209
3046.6844, Ti2, 0.967
