Wavelength, Species, Priority
5392.7091, 6-0_OH, 1.0
5392.8659, 6-0_OH, 1.0
5396.781, 6-0_OH, 1.0
5397.139, 6-0_OH, 1.0
5420.6968, 6-0_OH, 1.0
5424.11, 6-0_OH, 1.0
5424.5503, 6-0_OH, 1.0
5461.0, Hg_ML, 1.0
5542.2038, 7-1_OH, 1.0
5542.2118, 7-1_OH, 1.0
5542.2277, 7-1_OH, 1.0
5542.2449, 7-1_OH, 1.0
5543.4124, 7-1_OH, 1.0
5543.445, 7-1_OH, 1.0
5544.5697, 7-1_OH, 1.0
5544.5866, 7-1_OH, 1.0
5544.5912, 7-1_OH, 1.0
5544.6032, 7-1_OH, 1.0
5544.8683, 7-1_OH, 1.0
5544.8778, 7-1_OH, 1.0
5544.8855, 7-1_OH, 1.0
5544.9169, 7-1_OH, 1.0
5549.1868, 7-1_OH, 1.0
5549.2222, 7-1_OH, 1.0
5549.3356, 7-1_OH, 1.0
5549.4702, 7-1_OH, 1.0
5549.5115, 7-1_OH, 1.0
5556.9188, 7-1_OH, 1.0
5562.9327, 7-1_OH, 1.0
5563.0114, 7-1_OH, 1.0
5563.9795, 7-1_OH, 1.0
5564.0043, 7-1_OH, 1.0
5567.4258, 7-1_OH, 1.0
5567.5566, 7-1_OH, 1.0
5569.4918, 7-1_OH, 1.0
5569.5824, 7-1_OH, 1.0
5574.8537, 7-1_OH, 1.0
5574.9964, 7-1_OH, 1.0
5577.3894, 7-1_OH, 1.0
5577.5948, 7-1_OH, 1.0
5579.0, OI_AN, 1.0
5581.191, 7-1_OH, 1.0
5581.2365, 7-1_OH, 1.0
5585.1332, 7-1_OH, 1.0
5585.2408, 7-1_OH, 1.0
5587.7735, 7-1_OH, 1.0
5588.1446, 7-1_OH, 1.0
5589.1018, 7-1_OH, 1.0
5589.1509, 7-1_OH, 1.0
5597.771, 7-1_OH, 1.0
5597.8002, 7-1_OH, 1.0
5598.2099, 7-1_OH, 1.0
5598.2318, 7-1_OH, 1.0
5600.7277, 7-1_OH, 1.0
5601.3126, 7-1_OH, 1.0
5605.0932, 7-1_OH, 1.0
5605.1912, 7-1_OH, 1.0
5613.9504, 7-1_OH, 1.0
5614.063, 7-1_OH, 1.0
5616.3171, 7-1_OH, 1.0
5617.1597, 7-1_OH, 1.0
5617.1622, 7-1_OH, 1.0
5617.1632, 7-1_OH, 1.0
5623.7508, 7-1_OH, 1.0
5623.9096, 7-1_OH, 1.0
5635.7543, 7-1_OH, 1.0
5639.3155, 7-1_OH, 1.0
5645.1586, 7-1_OH, 1.0
5645.3865, 7-1_OH, 1.0
5664.1296, 7-1_OH, 1.0
5664.2298, 7-1_OH, 1.0
5669.3789, 7-1_OH, 1.0
5669.6847, 7-1_OH, 1.0
5683.0, NaI_ML, 1.0
5688.0, NaI_ML, 1.0
5691.7799, 7-1_OH, 1.0
5691.9407, 7-1_OH, 1.0
5696.468, 7-1_OH, 1.0
5696.8592, 7-1_OH, 1.0
5726.4835, 7-1_OH, 1.0
5754.6, NII_DN_16, 1.0
5770.0, HgI_ML, 1.0
5791.0, HgI_ML, 1.0
5865.4469, 8-2_OH, 1.0
5865.4603, 8-2_OH, 1.0
5865.99, 8-2_OH, 1.0
5865.9903, 8-2_OH, 1.0
5867.2335, 8-2_OH, 1.0
5867.2731, 8-2_OH, 1.0
5867.5317, 8-2_OH, 1.0
5867.5476, 8-2_OH, 1.0
5868.2794, 8-2_OH, 1.0
5868.3115, 8-2_OH, 1.0
5869.251, 8-2_OH, 1.0
5869.2755, 8-2_OH, 1.0
5869.4657, 8-2_OH, 1.0
5869.5115, 8-2_OH, 1.0
5872.7251, 8-2_OH, 1.0
5872.7282, 8-2_OH, 1.0
5874.9083, 8-2_OH, 1.0
5874.9511, 8-2_OH, 1.0
5875.3412, 8-2_OH, 1.0
5875.4017, 8-2_OH, 1.0
5875.6, He_I_DN_31, 1.0
5884.3441, 8-2_OH, 1.0
5884.4532, 8-2_OH, 1.0
5887.0888, 8-2_OH, 1.0
5887.1696, 8-2_OH, 1.0
5888.1703, 8-2_OH, 1.0
5888.1949, 8-2_OH, 1.0
5890.0, Na_I_AN, 1.0
5896.0, Na_I_AN, 1.0
5892.1335, 8-2_OH, 1.0
5892.2693, 8-2_OH, 1.0
5894.4212, 8-2_OH, 1.0
5894.5133, 8-2_OH, 1.0
5900.4829, 8-2_OH, 1.0
5900.6337, 8-2_OH, 1.0
5903.3651, 8-2_OH, 1.0
5903.5743, 8-2_OH, 1.0
5906.6738, 8-2_OH, 1.0
5906.7258, 8-2_OH, 1.0
5912.0562, 8-2_OH, 1.0
5912.1713, 8-2_OH, 1.0
5915.1167, 8-2_OH, 1.0
